outcome,horizon,coef,se,pvalue,h,n_h,n_total,kernel,p_degree
native_mb,main,-0.061356123355774034,0.03097461080656341,0.047607860324061384,13.985462993995142,16047,27007,triangular,1
native_mb,k1,-0.054836493179950874,0.0308539281686566,0.07551992419834877,13.222438424467391,15474,27007,triangular,1
native_mb,k2,-0.054890558975041324,0.03077688858139097,0.07450506323689458,13.24744969154575,15489,27007,triangular,1
native_mb,k3,-0.0584623697138821,0.030809334939186826,0.057754889038747266,13.751375306798627,15865,27007,triangular,1
native_mb,pre3,-0.06109325551227502,0.030097016145125517,0.0423689939659917,14.826891820343368,16715,27007,triangular,1
formation_mb,main,-0.0363068566006626,0.029735186265935125,0.22208354739720793,14.34341134514369,16333,27007,triangular,1
formation_mb,k1,-0.02797224698216473,0.0299159964260377,0.3497746849561202,13.602233500803445,15744,27007,triangular,1
formation_mb,k2,-0.03007542501725128,0.029706666550323623,0.3113404704806336,13.449080680485414,15628,27007,triangular,1
formation_mb,k3,-0.03322954495413106,0.029713617393663343,0.2634272968879906,13.84140847016337,15941,27007,triangular,1
formation_mb,pre3,-0.035934742994033896,0.029574284973144363,0.22434047053483575,14.930857193382348,16784,27007,triangular,1
treecover_modis,main,-0.07041257684274382,0.04241548770676418,0.0969008541970637,14.445736774422757,16413,27007,triangular,1
treecover_modis,k1,-0.025280565386443576,0.04078111747502289,0.5353179643416839,16.198926278020064,17665,27007,triangular,1
treecover_modis,k2,-0.038099626975645264,0.04122259553365141,0.35536067588003717,15.466754519989236,17164,27007,triangular,1
treecover_modis,k3,-0.06314400400887471,0.04253187361748447,0.1376424342648992,14.486431095579071,16444,27007,triangular,1
treecover_modis,pre3,-0.04334015713849726,0.04069389764465212,0.28686307323413307,16.179295138067644,17657,27007,triangular,1
